Date,opening,high,low,closing,volume,adjustment
"2019-01-04","3597","3667","3581","3662","7934900","3662"
"2019-01-07","3760","3789","3733","3761","8628400","3761"
"2019-01-08","3779","3820","3764","3782","6631700","3782"
"2019-01-09","3830","3836","3788","3813","4582300","3813"
"2019-01-10","3778","3830","3770","3819","4880700","3819"
"2019-01-11","3850","3860","3806","3818","5599300","3818"
"2019-01-15","3838","3916","3838","3882","7033800","3882"
"2019-01-16","3874","3875","3818","3852","4773600","3852"
"2019-01-17","3922","3929","3872","3887","5090500","3887"
"2019-01-18","3921","3936","3895","3909","4587700","3909"
"2019-01-21","3962","3981","3948","3955","5249300","3955"
"2019-01-22","3955","3966","3910","3928","3481800","3928"
"2019-01-23","3918","3964","3913","3931","4826500","3931"
"2019-01-24","3970","3988","3959","3982","6057200","3982"
"2019-01-25","3976","4024","3976","4013","5743500","4013"
"2019-01-28","4014","4029","3993","4006","4311300","4006"
"2019-01-29","4007","4033","4003","4033","5208600","4033"
"2019-01-30","4022","4033","4003","4014","4548600","4014"
"2019-01-31","4056","4060","4021","4045","5096100","4045"
"2019-02-01","4025","4031","3943","3943","8881000","3943"
"2019-02-04","3984","3992","3943","3983","5549900","3983"
"2019-02-05","3971","3990","3952","3956","4845900","3956"
"2019-02-06","3960","3988","3957","3966","3655800","3966"
"2019-02-07","3950","3969","3916","3928","4574100","3928"
"2019-02-08","3900","3907","3854","3861","6090800","3861"
"2019-02-12","3899","3950","3887","3931","7417400","3931"
"2019-02-13","3970","3999","3962","3981","5264900","3981"
"2019-02-14","3955","3974","3940","3970","4315700","3970"
"2019-02-15","3925","3946","3889","3937","5733900","3937"
"2019-02-18","4009","4070","4001","4035","7650200","4035"
"2019-02-19","4020","4053","4020","4048","3822900","4048"
"2019-02-20","4052","4067","4041","4041","3536200","4041"
"2019-02-21","4048","4066","4018","4033","4206400","4033"
"2019-02-22","3999","4010","3986","4002","4168400","4002"
"2019-02-25","4035","4037","3995","3995","4281800","3995"
"2019-02-26","4000","4007","3954","3974","5254700","3974"
"2019-02-27","3987","3990","3965","3965","4625000","3965"
"2019-02-28","3985","3985","3942","3942","4895600","3942"
"2019-03-01","3961","3975","3945","3971","3841800","3971"
"2019-03-04","4000","4004","3965","3975","3107500","3975"
"2019-03-05","3947","3979","3942","3978","3855500","3978"
"2019-03-06","3969","3975","3947","3961","3418500","3961"
"2019-03-07","3883","3900","3872","3891","6714700","3891"
"2019-03-08","3851","3864","3817","3830","9357600","3830"
"2019-03-11","3839","3873","3827","3855","4348900","3855"
"2019-03-12","3880","3934","3875","3906","5257800","3906"
"2019-03-13","3872","3905","3871","3895","4922500","3895"
"2019-03-14","3921","3963","3916","3920","5455100","3920"
"2019-03-15","3963","3980","3950","3968","6493900","3968"
"2019-03-18","3975","3988","3955","3988","4632100","3988"
"2019-03-19","3991","4035","3982","4028","5888400","4028"
"2019-03-20","3978","4045","3978","4042","5981700","4042"
"2019-03-22","4008","4054","3980","4015","8709600","4015"
"2019-03-25","3950","3955","3887","3915","8982800","3915"
"2019-03-26","3933","4008","3912","4005","9290200","4005"
"2019-03-27","3901","3920","3884","3910","5798100","3910"
"2019-03-28","3879","3891","3846","3885","5280000","3885"
"2019-03-29","3916","3924","3874","3876","3729000","3876"
"2019-04-01","3928","3976","3917","3937","6487600","3937"
"2019-04-02","4015","4018","3961","3996","5735100","3996"
"2019-04-03","4035","4037","4001","4021","5904300","4021"
"2019-04-04","4007","4034","4006","4020","3555100","4020"
"2019-04-05","4007","4052","4006","4044","4020200","4044"
"2019-04-08","4035","4041","3983","4004","4082100","4004"
"2019-04-09","3991","3998","3964","3987","3463300","3987"
"2019-04-10","3940","3962","3933","3955","3178600","3955"
"2019-04-11","3898","3909","3864","3893","7476200","3893"
"2019-04-12","3932","3939","3913","3923","5182300","3923"
"2019-04-15","4020","4028","3984","3996","6989700","3996"
"2019-04-16","3970","3997","3964","3989","3491700","3989"
"2019-04-17","4019","4086","4008","4053","8141500","4053"
"2019-04-18","4119","4167","4057","4078","7951200","4078"
"2019-04-19","4077","4083","4034","4061","2954900","4061"
"2019-04-22","4022","4061","4012","4061","3133300","4061"
"2019-04-23","4040","4064","4040","4054","2929100","4054"
"2019-04-24","4040","4050","3997","4007","5066700","4007"
"2019-04-25","3996","4039","3980","4030","4536500","4030"
"2019-04-26","3995","4026","3981","4021","3470300","4021"
"2019-05-07","4041","4050","3992","4020","6307100","4020"
"2019-05-08","3952","3973","3942","3967","5279500","3967"
"2019-05-09","3913","3920","3884","3898","5732900","3898"
"2019-05-10","3876","3907","3852","3880","5689500","3880"
"2019-05-13","3818","3846","3799","3842","4432300","3842"
"2019-05-14","3750","3815","3741","3815","5493900","3815"
"2019-05-15","3800","3837","3786","3833","4541500","3833"
"2019-05-16","3860","3861","3788","3811","6748100","3811"
"2019-05-17","3829","3860","3807","3830","6096000","3830"
"2019-05-20","3848","3893","3845","3864","4537100","3864"
"2019-05-21","3830","3856","3811","3849","4338700","3849"
"2019-05-22","3860","3887","3830","3847","3965000","3847"
"2019-05-23","3809","3828","3795","3820","4407100","3820"
"2019-05-24","3782","3821","3774","3815","4100000","3815"
"2019-05-27","3815","3843","3809","3838","2321300","3838"
"2019-05-28","3833","3872","3831","3866","5147900","3866"
"2019-05-29","3812","3827","3790","3819","5679500","3819"
"2019-05-30","3806","3837","3803","3834","3344000","3834"
"2019-05-31","3802","3817","3780","3783","5763200","3783"
"2019-06-03","3714","3746","3708","3740","5887200","3740"
"2019-06-04","3710","3745","3702","3739","5557600","3739"
"2019-06-05","3789","3831","3789","3800","5457100","3800"
"2019-06-06","3785","3798","3778","3785","3284900","3785"
"2019-06-07","3782","3797","3767","3792","2972100","3792"
"2019-06-10","3792","3801","3764","3783","4518000","3783"
"2019-06-11","3794","3844","3789","3827","4500500","3827"
"2019-06-12","3802","3822","3796","3807","3357000","3807"
"2019-06-13","3774","3782","3741","3771","5688800","3771"
"2019-06-14","3771","3790","3748","3776","5169400","3776"
"2019-06-17","3748","3780","3738","3766","3512300","3766"
"2019-06-18","3766","3795","3751","3761","3498700","3761"
"2019-06-19","3795","3818","3785","3800","5045600","3800"